# name-stuff given names
# format: name|gender|frequency|tags
#
Airianna|F|3|modern
Airica|F|2|modern
Airiel|F|2|modern
Airika|F|2|modern
Airis|F?|2|2
Airlie|F|2|modern
Airon|M|2|modern
Airyana|F|2|modern
Airyanna|F|2|modern
Airyn|F|2|modern
Aisa|F|3|modern
Aisea|M|2|modern
Aisha|F|6|modern
Aishah|F|4|modern
Aishani|F|3|modern
Aishia|F|2|modern
Aishling|F|1|1
Aishwarya|F|3|modern
Aisla|F|2|2
Aislee|F|2|modern
Aisley|F|4|modern
Aislin|F|4|modern
Aisling|F|6|modern
Aislinn|F|5|modern
Aislyn|F|4|modern
Aislynn|F|4|modern
Aison|M|2|modern
Aissa|F|3|modern
Aissata|F|3|modern
Aissatou|F|3|modern
Aitan|M|2|modern
Aitana|F|5|5
Aitanna|F|2|2
Aithan|M|2|modern
Aithana|F|2|2
Aiva|F|3|modern
Aivah|F|2|modern
Aivan|M|2|modern
Aiven|M|2|modern
Aivy|F|2|modern
Aixa|F|4|modern
Aiya|F|3|modern
Aiyah|F|2|modern
Aiyana|F|5|modern
Aiyanah|F|2|modern
Aiyanna|F|4|modern
Aiyannah|F|2|modern
Aiyden|M|3|modern
Aiyla|F|3|3
Aiyonna|F|2|modern
Aiysha|F|2|2
Aiza|F|4|modern
Aizah|F|3|modern
Aizal|F|2|2
Aizen|M|4|4
Aizik|M|2|modern
Aizley|F|2|modern
Aizlyn|F|2|modern
Aizlynn|F|2|modern
Aj|M|4|modern
Aja|F|5|modern
Ajah|F|4|modern
Ajahnae|F|2|modern
Ajahni|M|2|modern
Ajai|U|2|modern
Ajamu|M|2|2
Ajanae|F|3|modern
Ajanay|F|2|modern
Ajanee|F|2|modern
Ajani|M?|4|modern
Ajax|M|2|modern
Ajay|M|4|modern
Ajaya|F|2|modern
Ajayla|F|2|modern
Ajdin|M|2|modern
Ajee|F?|2|modern
Ajeet|M|2|modern
Ajene|U|2|modern
Ajia|F|3|modern
Ajit|M|2|modern
Ajla|F|3|modern
Ajna|F|2|modern
Ajooni|F|2|2
Ajwa|F|2|modern
Akaash|M|2|modern
Akacia|F|2|modern
Akai|M?|3|3
Akaiya|F|2|modern
Akane|F|2|modern
Akanksha|F|2|modern
Akari|U|4|4
Akash|M|4|modern
Akasha|F|4|modern
Akaya|F|2|modern
Akayla|F|4|modern
Akaylah|F|2|modern
Akaysha|F|2|modern
Akbar|M|3|3
Akeel|M|2|modern
Akeela|F|2|modern
Akeelah|F|4|modern
Akeem|M|5|modern
Akeema|F|2|modern
Akeen|M|2|modern
Akeia|F|2|modern
Akeila|F|2|modern
Akeira|F|2|modern
Akeisha|F|2|modern
Akela|F?|3|modern
Akemi|F|3|modern
Akera|F|2|modern
Akeria|F|2|modern
Akesha|F|2|2
Akeya|F|2|modern
Akeyla|F|2|modern
Akeylah|F|2|modern
Akhari|U|2|2
Akhil|M|4|modern
Akhila|F|2|modern
Akhilesh|M|2|modern
Aki|U|3|modern
Akia|F?|4|modern
Akiah|F|2|modern
Akiel|M|2|modern
Akiem|M|1|modern
Akiera|F|2|modern
Akif|M|2|modern
Akiko|F|3|vintage
Akil|M|4|modern
Akila|F|3|modern
Akilah|F|4|modern
Akili|U|3|modern
Akim|M|3|modern
Akin|M|2|modern
Akina|F|3|modern
Aking|M|2|modern
Akio|M|3|modern
Akira|F?|5|modern
Akirah|F|3|modern
Akisha|F|2|2
Akita|F|2|modern
Akito|M|2|modern
Akiva|M|4|modern
Akiya|F|3|modern
Akiyah|F|3|modern
Akon|M?|2|modern
Akoni|M|2|modern
Akosua|F|2|modern
Akram|M|4|modern
Aksel|M|4|modern
Aksh|M|2|modern
Akshaj|M|3|modern
Akshar|M|3|modern
Akshara|F|4|modern
Akshat|M|2|modern
Akshath|M|2|modern
Akshay|M|4|modern
Akshaya|F|3|modern
Akshita|F|2|modern
Akua|F|3|modern
Akul|M|2|modern
Akya|F|2|modern
Akyah|F|2|modern
Akyla|F|2|modern
Akylah|F|2|modern
Akyra|F|3|modern
Al|M|6|6
Ala|F?|3|modern
Alaa|F?|4|modern
Alabama|F|2|modern
Alacia|F|2|modern
Aladdin|M|2|2
Alaena|F|2|modern
Alahia|F|2|2
Alahna|F|4|modern
Alahni|F|3|3
Alaia|F|6|6
Alaiah|F|4|4
Alaiia|F|2|2
